gene_id	ensembl_gene_id	hgnc_symbol	sample_id	expression
ENSG00000054219.11	ENSG00000054219	LY75	16-18623T	10.645494526096034
ENSG00000054219.11	ENSG00000054219	LY75	16-23208T	11.231453379223735
ENSG00000054219.11	ENSG00000054219	LY75	16-27413T	12.453471908475096
ENSG00000054219.11	ENSG00000054219	LY75	16-29329T	10.914212027160136
ENSG00000054219.11	ENSG00000054219	LY75	16-31791T	11.697807689060214
ENSG00000054219.11	ENSG00000054219	LY75	17-12136T	13.531188969200745
ENSG00000054219.11	ENSG00000054219	LY75	17-23504T	10.998779967618068
ENSG00000054219.11	ENSG00000054219	LY75	96-31596T	12.92859594933255
ENSG00000054219.11	ENSG00000054219	LY75	00-15201_tumorA	10.78817580150802
ENSG00000054219.11	ENSG00000054219	LY75	FL3001T1	11.266745568286163
ENSG00000054219.11	ENSG00000054219	LY75	00-23442_tumorA	12.64625566923423
ENSG00000054219.11	ENSG00000054219	LY75	01-12047_tumorA	11.678036296319764
ENSG00000054219.11	ENSG00000054219	LY75	01-14774_tumorA	12.361541047774754
ENSG00000054219.11	ENSG00000054219	LY75	01-23942_tumorA	12.122331242387661
ENSG00000054219.11	ENSG00000054219	LY75	01-28152_tumorA	11.654166384908327
ENSG00000054219.11	ENSG00000054219	LY75	02-15630_tumorA	10.509130959383274
ENSG00000054219.11	ENSG00000054219	LY75	02-15745_tumorB	11.822328700951383
ENSG00000054219.11	ENSG00000054219	LY75	02-24492_tumorA	11.007590871934157
ENSG00000054219.11	ENSG00000054219	LY75	03-10440_tumorA	11.504040859391324
ENSG00000054219.11	ENSG00000054219	LY75	03-19103_tumorA	11.454109749318409
ENSG00000054219.11	ENSG00000054219	LY75	03-33266_tumorA	12.67002191501306
ENSG00000054219.11	ENSG00000054219	LY75	03-34157_CLC02970	11.399889372757112
ENSG00000054219.11	ENSG00000054219	LY75	04-14066_tumorA	12.526567737877794
ENSG00000054219.11	ENSG00000054219	LY75	04-14093_tumorA	11.902882357798552
ENSG00000054219.11	ENSG00000054219	LY75	04-24061_tumorA	11.656964652537711
ENSG00000054219.11	ENSG00000054219	LY75	05-28753_tumorB	11.569646473955551
ENSG00000054219.11	ENSG00000054219	LY75	06-11677_tumorA	12.389102175634065
ENSG00000054219.11	ENSG00000054219	LY75	06-22314_tumorA	11.98402835303532
ENSG00000054219.11	ENSG00000054219	LY75	06-24255_tumorB	11.98648991935149
ENSG00000054219.11	ENSG00000054219	LY75	FL2004T1	11.410155120763577
ENSG00000054219.11	ENSG00000054219	LY75	07-21038_tumorA	11.368062198622399
ENSG00000054219.11	ENSG00000054219	LY75	07-25994_tumorA	12.02963735067885
ENSG00000054219.11	ENSG00000054219	LY75	FL2005T1	11.496842745711927
ENSG00000054219.11	ENSG00000054219	LY75	FL1005T1	12.157858067215118
ENSG00000054219.11	ENSG00000054219	LY75	07-41887_tumorA	10.971529364623374
ENSG00000054219.11	ENSG00000054219	LY75	08-10249_tumorA	11.288862008019972
ENSG00000054219.11	ENSG00000054219	LY75	08-17645_tumorA	11.94924717257208
ENSG00000054219.11	ENSG00000054219	LY75	08-29440_tumorA	9.5067577068656
ENSG00000054219.11	ENSG00000054219	LY75	09-15842_tumorA	10.63998882562042
ENSG00000054219.11	ENSG00000054219	LY75	09-31008_tumorA	12.188740664504355
ENSG00000054219.11	ENSG00000054219	LY75	FL1020T1	11.882015012922107
ENSG00000054219.11	ENSG00000054219	LY75	09-31601_tumorA	11.183645306241692
ENSG00000054219.11	ENSG00000054219	LY75	10-11584_tumorA	11.70050969931184
