sample	file
FL2102T1	/FL2102T1.capture_S072.hg38.cram
CLC00284	/CLC00284.capture_S318.hg38.cram
CLC01945	/CLC01945.capture_TE99028370.hg38.cram
CCS_0303	/CCS_0303.capture_S318.hg38.cram
CLC02068	/CLC02068.capture_TE99028370.hg38.cram
CCS_0395	/CCS_0395.capture_S318.hg38.cram
CLC01983	/CLC01983.capture_TE99028370.hg38.cram
CLC00337	/CLC00337.capture_S318.hg38.cram
CCS_0308	/CCS_0308.capture_S318.hg38.cram
CLC02076	/CLC02076.capture_TE99028370.hg38.cram
GE0009	/GE0009.capture_S072.hg38.cram
FL1017T2	/FL1017T2.capture_S072.hg38.cram
GE0033	/GE0033.capture_S072.hg38.cram
GE0030	/GE0030.capture_S072.hg38.cram
CCS_0318	/CCS_0318.capture_S318.hg38.cram
CCS_0320	/CCS_0320.capture_S318.hg38.cram
GE0142	/GE0142.capture_S072.hg38.cram
CCS_0328	/CCS_0328.capture_S318.hg38.cram
GE0080	/GE0080.capture_S072.hg38.cram
GE0120	/GE0120.capture_S072.hg38.cram
GE0127	/GE0127.capture_S072.hg38.cram
CLC02133	/CLC02133.capture_TE99028370.hg38.cram
CCS_0390	/CCS_0390.capture_S318.hg38.cram
CNR1043T1	/CNR1043T1.capture_S072.hg38.cram
GE0210	/GE0210.capture_S072.hg38.cram
GE0343	/GE0343.capture_S072.hg38.cram
GE0256	/GE0256.capture_S072.hg38.cram
CLC02061	/CLC02061.capture_TE99028370.hg38.cram
GE0287	/GE0287.capture_S072.hg38.cram
CLC02075	/CLC02075.capture_TE99028370.hg38.cram
CCS_0343	/CCS_0343.capture_S318.hg38.cram
GE0301	/GE0301.capture_S072.hg38.cram
CLC02021	/CLC02021.capture_TE99028370.hg38.cram
GE0333	/GE0333.capture_S072.hg38.cram
GE0344	/GE0344.capture_S072.hg38.cram
GE0387	/GE0387.capture_S072.hg38.cram
GE0585	/GE0585.capture_S072.hg38.cram
GE0513	/GE0513.capture_S072.hg38.cram
CLC02071	/CLC02071.capture_TE99028370.hg38.cram
CCS_0358	/CCS_0358.capture_S318.hg38.cram
GE0586	/GE0586.capture_S072.hg38.cram
CCS_0361	/CCS_0361.capture_S318.hg38.cram
CLC01962	/CLC01962.capture_TE99028370.hg38.cram
CCS_0363	/CCS_0363.capture_S318.hg38.cram
CLC02057	/CLC02057.capture_TE99028370.hg38.cram
CLC01906	/CLC01906.capture_TE99028370.hg38.cram
CCS_0391	/CCS_0391.capture_S318.hg38.cram
CLC02026	/CLC02026.capture_TE99028370.hg38.cram
CLC01980	/CLC01980.capture_TE99028370.hg38.cram
CLC00355	/CLC00355.capture_S318.hg38.cram
CLC02059	/CLC02059.capture_TE99028370.hg38.cram
CLC02033	/CLC02033.capture_TE99028370.hg38.cram
CLC02008	/CLC02008.capture_TE99028370.hg38.cram
CLC02043	/CLC02043.capture_TE99028370.hg38.cram
CLC01993	/CLC01993.capture_TE99028370.hg38.cram
