sample_id	TSS	exon1
SPECS_4903	87	30
SPECS_4906	1	0
SPECS_4908	1	0
SPECS_4952	1	0
SPECS_4992	1	1
SPECS_5001	5	3
SPECS_5120	1	1
SPECS_5198	49	10
SPECS_5224	46	8
SPECS_5225	83	10
SPECS_5296	8	4
SPECS_5300	14	1
SPECS_5305	73	20
SPECS_5318	47	8
SPECS_5320	54	12
SPECS_5321	2	0
SPECS_5322	9	0
SPECS_5323	1	1
SPECS_5325	43	6
SPECS_5326	1	0
SPECS_5327	39	9
SPECS_5330	49	7
SPECS_5331	42	17
SPECS_5333	19	3
SPECS_5334	89	14
SPECS_5335	30	6
SPECS_5336	33	6
SPECS_5337	39	6
SPECS_5338	53	21
SPECS_5340	38	5
SPECS_5341	23	6
SPECS_5342	10	1
SPECS_5343	33	6
SPECS_5345	19	2
SPECS_5354	3	2
SPECS_5357	25	2
SPECS_5358	44	8
SPECS_5413	54	13
SPECS_5505	52	8
SPECS_5507	14	3
SPECS_5508	74	25
SPECS_5513	23	8
SPECS_5514	2	1
SPECS_5552	20	2
SPECS_5557	67	8
SPECS_5558	66	12
SPECS_5562	84	18
SPECS_5564	57	15
SPECS_5676	32	5
SPECS_5820	1	0
